,,,,
,,,,
,,,,
,,,,
Pos.,Giocatore,,Ruolo,PG
476,Łukasz Skorupski,,Por,15
477,Simon Sohm,,Cen,23
478,Ola Solbakken,,"Cen,Att",14
479,Oumar Solet,,Dif,4
480,Yann Sommer,,Por,22
481,Borna Sosa,,Dif,17
482,Riccardo Sottil,,"Att,Cen",18
483,Matìas Soulé,,"Cen,Att",13
484,Leonardo Spinazzola,,"Dif,Att",16
485,Filip Stankovic,,Por,16
486,Petar Stojanović,,Cen,1
487,Gabriel Strefezza,,"Att,Cen",22
488,Ibrahim Sulemana,,Cen,3
489,Tomáš Suslov,,"Cen,Att",20
490,Zion Suzuki,,Por,22
491,Marin Šverko,,Dif,15
492,Mile Svilar,,Por,23
493,Michael Svoboda,,Dif,16
494,Adrien Tameze,,"Cen,Dif",15
495,Mehdi Taremi,,Att,16
496,Nuno Tavares,,Dif,16
497,Loum Tchaouna,,"Att,Cen",15
498,Jackson Tchatchoua,,"Dif,Cen",21
499,Casper Tengstedt,,Att,20
500,Filippo Terracciano,,"Dif,Cen",8
501,Pietro Terracciano,,Por,3
502,Florian Thauvin,,"Att,Cen",20
503,Malick Thiaw,,Dif,13
504,Morten Thorsby,,Cen,22
505,Khéphren Thuram,,Cen,21
506,Marcus Thuram,,Att,22
507,Rafael Tolói,,Dif,4
508,Fikayo Tomori,,Dif,13
509,Lorenzo Tosto,,Dif,1
510,Souleymane Touré,,Dif,12
511,Stefano Turati,,Por,20
512,Kacper Urbanski,,Cen,7
513,Kacper Urbanski,,Cen,2
514,Lautaro Valenti,,Dif,8
515,Emanuele Valeri,,Dif,20
516,Álex Valle,,Dif,1
517,Mattia Valoti,,Cen,5
518,Ignace Van Der Brempt,,Dif,13
519,Devis Vásquez,,Por,22
520,Johan Vásquez,,Dif,22
521,Matías Vecino,,Cen,10
522,Renato Veiga,,Dif,1
523,Lorenzo Venturino,,Att,1
524,Simone Verdi,,"Cen,Att",9
525,Samuele Vignato,,Cen,11
526,Nicolas Viola,,"Cen,Att",16
527,Mattia Viti,,Dif,20
528,Vitinha,,"Att,Cen",16
529,Dušan Vlahović,,Att,19
530,Vanja Vlahović,,"Cen,Att",2
531,Nikola Vlašić,,"Cen,Att",17
532,Alessandro Vogliacco,,Dif,12
533,Alessandro Vogliacco,,Dif,3
534,Mërgim Vojvoda,,Dif,17
535,Stefan de Vrij,,Dif,18
536,Kyle Walker,,Dif,1
537,Sebastian Walukiewicz,,Dif,16
538,Sebastian Walukiewicz,,Dif,2
539,Timothy Weah,,"Att,Dif",15
540,Mateusz Wieteska,,Dif,5
541,John Yeboah,,"Att,Cen",19
542,Kenan Yıldız,,"Att,Cen",23
543,Mattia Zaccagni,,Att,20
544,Nicola Zalewski,,"Dif,Att",12
545,Nicola Zalewski,,Dif,1
546,Andre-Frank Zambo Anguissa,,Cen,23
547,Francesco Zampano,,Dif,20
548,Nicolò Zaniolo,,"Att,Cen",14
549,Alessandro Zanoli,,"Att,Dif",19
550,Duván Zapata,,Att,7
551,Gabriele Zappa,,Dif,23
552,Davide Zappacosta,,Dif,17
553,Oier Zarraga,,Cen,12
554,Jordan Zemura,,Dif,19
555,Alessio Zerbin,,Dif,3
556,Alessio Zerbin,,"Att,Dif",2
557,Kevin Zeroli,,Cen,1
558,Piotr Zieliński,,Cen,17
559,Nadir Zortea,,"Dif,Cen",20
560,Szymon Żurkowski,,Cen,2
561,Milan Đurić,,Att,18
562,Milan Đurić,,Att,2
